id,Names,Distance,Mass,Radius
179,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '2', '2', '2', '8', '2', '8', '8', '9', '-', '4', '3', '1', '0', '2', '6', '2']","['3', '5']","['4', '2']","['0', '.', '9', '4']"
180,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '2', '2', '3', '7', '3', '2', '5', '5', '+', '3', '9', '2', '2', '3', '9', '8']","['6', '4']","['7', '3']","['1', '.', '0', '4']"
181,"['2', 'M', 'A', 'S', 'S', 'W', ' ', 'J', '2', '2', '4', '4', '3', '1', '6', '+', '2', '0', '4', '3', '4', '3']","['5', '6']","['1', '2']","['1', '.', '2', '9']"
182,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '2', '3', '2', '2', '4', '6', '8', '4', '-', '3', '1', '3', '3', '2', '3', '1']","['5', '6']","['2', '4']","['1', '.', '3', '9']"
183,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '2', '3', '2', '2', '5', '2', '9', '9', '-', '6', '1', '5', '1', '2', '7', '5']","['1', '4', '8']","['1', '7']","['1', '.', '5', '9']"
184,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '2', '3', '5', '1', '5', '0', '4', '4', '-', '2', '5', '3', '7', '3', '6', '7']","['6', '7']","['8', '8']","['1', '.', '1', '6']"
185,"['2', 'M', 'A', 'S', 'S', 'I', ' ', 'J', '2', '3', '5', '6', '5', '4', '7', '-', '1', '5', '5', '3', '1', '0']","['7', '4']","['8', '0']","['1', '.', '0', '9']"
186,"['W', 'I', 'S', 'E', ' ', '0', '0', '0', '5', '+', '3', '7', '3', '7']","['2', '3', '.', '2']",[],[]
187,"['W', 'I', 'S', 'E', ' ', '0', '0', '0', '8', '-', '1', '7', '3', '9']","['8', '7', '.', '1']",[],[]
188,"['W', 'I', 'S', 'E', ' ', '0', '0', '1', '5', '-', '4', '6', '1', '5']","['4', '8', '.', '6']",[],[]
189,"['W', 'I', 'S', 'E', ' ', '0', '0', '3', '1', '-', '3', '8', '4', '0']","['7', '1', '.', '8']",[],[]
190,"['W', 'I', 'S', 'E', ' ', '0', '0', '3', '2', '-', '4', '9', '4', '6']","['6', '2', '.', '9']",[],[]
191,"['W', 'I', 'S', 'E', ' ', '0', '0', '3', '8', '+', '2', '7', '5', '8']","['3', '6', '.', '9']",[],[]
192,"['W', 'I', 'S', 'E', ' ', '0', '0', '3', '8', '+', '8', '4', '0', '5']","['1', '0', '1', '.', '8']",[],[]
193,"['W', 'I', 'S', 'E', ' ', '0', '0', '4', '0', '+', '0', '9', '0', '0']","['4', '7', '.', '6']",[],[]
194,"['W', 'I', 'S', 'E', ' ', '0', '0', '4', '9', '+', '0', '4', '4', '1']","['6', '2', '.', '6']",[],[]
195,"['W', 'I', 'S', 'E', ' ', '0', '0', '4', '9', '+', '2', '1', '5', '1']","['2', '4', '.', '1']",[],[]
196,"['W', 'I', 'S', 'E', ' ', '0', '1', '0', '6', '+', '1', '5', '1', '8']","['1', '4', '2', '.', '9']",[],[]
